연도,월,제품군,매출액,증감률(%)
2024,7,참치/캔류,120000.0,1.2
2024,7,HMR,80000.0,10.0
2024,7,유제품,60000.0,3.5
2024,7,음료,50000.0,2.5
2024,7,기타 식품/조미식품,40000.0,5.5
2024,8,참치/캔류,121440.0,1.2
2024,8,HMR,88000.0,10.0
2024,8,유제품,62100.0,3.5
2024,8,음료,51250.0,2.5
2024,8,기타 식품/조미식품,42200.0,5.5
2024,9,참치/캔류,122897.28,1.2
2024,9,HMR,96800.0,10.0
2024,9,유제품,64273.5,3.5
2024,9,음료,52531.25,2.5
2024,9,기타 식품/조미식품,44521.0,5.5
2024,10,참치/캔류,124372.05,1.2
2024,10,HMR,106480.0,10.0
2024,10,유제품,66523.07,3.5
2024,10,음료,53844.53,2.5
2024,10,기타 식품/조미식품,46969.65,5.5
2024,11,참치/캔류,125864.51,1.2
2024,11,HMR,117128.0,10.0
2024,11,유제품,68851.38,3.5
2024,11,음료,55190.64,2.5
2024,11,기타 식품/조미식품,49552.99,5.5
2024,12,참치/캔류,127374.89,1.2
2024,12,HMR,128840.8,10.0
2024,12,유제품,71261.18,3.5
2024,12,음료,56570.41,2.5
2024,12,기타 식품/조미식품,52278.4,5.5
2025,1,참치/캔류,131213.19,1.5
2025,1,HMR,157905.81,12.0
2025,1,유제품,75919.14,4.0
2025,1,음료,59702.61,3.0
2025,1,기타 식품/조미식품,56740.76,6.0
2025,2,참치/캔류,133181.39,1.5
2025,2,HMR,176854.51,12.0
2025,2,유제품,78955.91,4.0
2025,2,음료,61493.69,3.0
2025,2,기타 식품/조미식품,60145.21,6.0
2025,3,참치/캔류,135179.11,1.5
2025,3,HMR,198077.05,12.0
2025,3,유제품,82114.14,4.0
2025,3,음료,63338.5,3.0
2025,3,기타 식품/조미식품,63753.92,6.0
2025,4,참치/캔류,137206.8,1.5
2025,4,HMR,221846.3,12.0
2025,4,유제품,85398.71,4.0
2025,4,음료,65238.66,3.0
2025,4,기타 식품/조미식품,67579.16,6.0
2025,5,참치/캔류,139264.9,1.5
2025,5,HMR,248467.86,12.0
2025,5,유제품,88814.66,4.0
2025,5,음료,67195.82,3.0
2025,5,기타 식품/조미식품,71633.91,6.0
2025,6,참치/캔류,141353.87,1.5
2025,6,HMR,278284.0,12.0
2025,6,유제품,92367.24,4.0
2025,6,음료,69211.69,3.0
2025,6,기타 식품/조미식품,75931.94,6.0
