상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원참치 김치찌개용 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,245,150,10,1500,180,000523704,https://www.dongwonmall.com/product/detail.do?productId=000523704,동원참치 김치찌개용,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 리챔 200g x 6캔,햄/닭가슴살,가공육,반찬/주재료,17400,5,226,200,6,1200,145,000079120,https://www.dongwonmall.com/product/detail.do?productId=000079120,동원 리챔,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,부드럽다; 짠맛; 낮음; 맛있다,false,false,true
동원 Dole 파인애플 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,226,432,1,432,64.81,000002211,https://www.dongwonmall.com/product/detail.do?productId=000002211,동원 Dole 파인애플,,,확인필요,,,,,false,false,true
동원참치 야채참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,216,150,10,1500,180,000866772,https://www.dongwonmall.com/product/detail.do?productId=000866772,동원참치 야채참치,참치/통조림,플레이크형,야채,즉석,반찬,캔,,false,false,true
동원 양반 야채죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,5,214,287,24,6888,55.02,000002654,https://www.dongwonmall.com/product/detail.do?productId=000002654,동원 양반 야채죽,죽류,레토르트죽,야채,전자레인지,식사대용,캔,,false,false,true
동원 리챔 340g,햄/닭가슴살,가공육,반찬/주재료,4500,4.9,208,340,1,340,132.35,000002232,https://www.dongwonmall.com/product/detail.do?productId=000002232,동원 리챔,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,부드럽다; 짠맛; 낮음; 맛있다,false,false,true
동원 양반 차돌 육개장 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,206,460,1,460,93.48,001243295,https://www.dongwonmall.com/product/detail.do?productId=001243295,동원 양반 차돌 육개장,,,확인필요,,,,,false,false,true
동원 양반 진국 사골곰탕 500g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,26000,4.9,205,500,20,10000,26,001243572,https://www.dongwonmall.com/product/detail.do?productId=001243572,동원 양반 진국 사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원 Dole 후르츠칵테일 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.8,198,432,1,432,64.81,000002213,https://www.dongwonmall.com/product/detail.do?productId=000002213,동원 Dole 후르츠칵테일,,,확인필요,,,,,false,false,true
동원참치 고추참치 100g,참치/연어통조림,통조림,반찬/주재료,2100,5,185,100,1,100,210,000002178,https://www.dongwonmall.com/product/detail.do?productId=000002178,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원참치 살코기 라이트스탠다드 135gx10캔,참치/연어통조림,통조림,반찬/주재료,22500,4.9,184,135,10,1350,166.67,001029913,https://www.dongwonmall.com/product/detail.do?productId=001029913,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g (4인용),아이반찬,반찬,반찬,4800,4.9,182,340,1,340,141.18,000647870,https://www.dongwonmall.com/product/detail.do?productId=000647870,동원 새콤달콤 도톰쫄깃 삼각유부초밥,,,확인필요,,,,,false,false,true
동원참치 살코기 라이트스탠다드 100g,참치/연어통조림,통조림,반찬/주재료,2100,5,180,100,1,100,210,000567885,https://www.dongwonmall.com/product/detail.do?productId=000567885,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
동원 리챔 340g x 12캔,햄/닭가슴살,가공육,반찬/주재료,49000,5,172,340,12,4080,120.1,003567235,https://www.dongwonmall.com/product/detail.do?productId=003567235,동원 리챔,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,부드럽다; 짠맛; 낮음; 맛있다,false,false,true
동원 고등어 400g,고등어/꽁치통조림,통조림,반찬,3200,4.9,172,400,1,400,80,000002193,https://www.dongwonmall.com/product/detail.do?productId=000002193,동원 고등어,,,확인필요,,,,,false,false,true
동원참치 김치찌개용 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,5,169,250,10,2500,140,000523725,https://www.dongwonmall.com/product/detail.do?productId=000523725,동원참치 김치찌개용,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,168,460,5,2300,99.57,003623150,https://www.dongwonmall.com/product/detail.do?productId=003623150,동원 양반 수라 도가니설렁탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 단호박죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,168,285,24,6840,55.41,001048200,https://www.dongwonmall.com/product/detail.do?productId=001048200,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 자연산꽁치 400g x 12캔,고등어/꽁치통조림,통조림,반찬,44400,5,167,400,12,4800,92.5,003569051,https://www.dongwonmall.com/product/detail.do?productId=003569051,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,false,false,true
동원참치 DHA 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,165,250,10,2500,140,000522390,https://www.dongwonmall.com/product/detail.do?productId=000522390,동원참치 DHA,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 양반 수라 왕갈비탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4900,4.7,159,460,1,460,106.52,001243299,https://www.dongwonmall.com/product/detail.do?productId=001243299,동원 양반 수라 왕갈비탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 자연산꽁치 400g x 5캔,고등어/꽁치통조림,통조림,반찬,20500,4.9,159,400,5,2000,102.5,001479669,https://www.dongwonmall.com/product/detail.do?productId=001479669,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,false,false,true
동원참치 고추참치 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,49200,4.9,158,150,20,3000,164,001222993,https://www.dongwonmall.com/product/detail.do?productId=001222993,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원 양반 진국 사골곰탕 500g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,1600,4.9,154,500,1,500,32,001243334,https://www.dongwonmall.com/product/detail.do?productId=001243334,동원 양반 진국 사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원참치 고추참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,5,150,150,1,150,186.67,000002179,https://www.dongwonmall.com/product/detail.do?productId=000002179,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원참치 살코기 라이트스탠다드 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,10800,4.9,148,250,3,750,144,001479411,https://www.dongwonmall.com/product/detail.do?productId=001479411,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
동원 양반 수라 한우사골곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2300,4.9,147,460,1,460,50,001243313,https://www.dongwonmall.com/product/detail.do?productId=001243313,동원 양반 수라 한우사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원 양반 단호박죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,147,420,10,4200,56.9,003565759,https://www.dongwonmall.com/product/detail.do?productId=003565759,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원참치 고추참치 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,146,250,10,2500,140,000523885,https://www.dongwonmall.com/product/detail.do?productId=000523885,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
[4%적립금] 동원 리챔 순닭가슴살 135g x 48개(1박스),햄/닭가슴살,가공육,반찬/주재료,75000,5,140,135,48,6480,115.74,003692041,https://www.dongwonmall.com/product/detail.do?productId=003692041,동원 리챔 순닭가슴살,햄/통조림,블록형,"돼지고기, 소고기 (햄)",조리 필요,반찬,캔,,false,false,true
