상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원참치 포도씨유 150gx10캔,참치/연어통조림,통조림,반찬/주재료,27000,5,11,150,10,1500,180,003676423,https://www.dongwonmall.com/product/detail.do?productId=003676423,동원참치 포도씨유,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원참치 김치찌개용 250g x 5캔,참치/연어통조림,통조림,반찬/주재료,18900,5,11,250,5,1250,151.2,000523724,https://www.dongwonmall.com/product/detail.do?productId=000523724,동원참치 김치찌개용,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,캔,,false,false,true
동원참치 마일드참치 200g x 15캔,참치/연어통조림,통조림,반찬/주재료,44250,5,11,200,15,3000,147.5,003676412,https://www.dongwonmall.com/product/detail.do?productId=003676412,동원참치 마일드참치,참치/통조림,플레이크형,마일드,즉석,반찬,캔,,false,false,true
동원 자연산꽁치 300g x 9캔,고등어/꽁치통조림,통조림,반찬,33400,5,11,300,9,2700,123.7,003646942,https://www.dongwonmall.com/product/detail.do?productId=003646942,동원 자연산꽁치,수산가공/통조림,,"해물, 꽁치",즉석,식재료,캔,,false,false,true
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,6540,4.9,11,460,3,1380,47.39,001514194,https://www.dongwonmall.com/product/detail.do?productId=001514194,동원 양반 수라 한우사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원 양반 수라 차돌된장찌개 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.9,11,460,1,460,119.57,003637714,https://www.dongwonmall.com/product/detail.do?productId=003637714,동원 양반 수라 차돌된장찌개,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 수라 차돌된장찌개 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,5,11,460,3,1380,108.7,003637717,https://www.dongwonmall.com/product/detail.do?productId=003637717,동원 양반 수라 차돌된장찌개,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 진국 사골곰탕 300g (1인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,13500,5,11,300,10,3000,45,001479718,https://www.dongwonmall.com/product/detail.do?productId=001479718,동원 양반 진국 사골곰탕,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원 자연산골뱅이 매실청 140g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,16900,5,10,140,5,700,241.43,003579778,https://www.dongwonmall.com/product/detail.do?productId=003579778,동원 자연산골뱅이 매실청,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원참치 스프레드 갈릭마요 100g,참치/연어통조림,통조림,반찬/주재료,2000,4.8,10,100,1,100,200,003675791,https://www.dongwonmall.com/product/detail.do?productId=003675791,동원참치 스프레드 갈릭마요,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원참치 고추참치 85g x 60캔(1박스),참치/연어통조림,통조림,반찬/주재료,91200,5,10,85,60,5100,178.82,001478576,https://www.dongwonmall.com/product/detail.do?productId=001478576,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,false,false,true
동원홈푸드 비비드키친 알룰로스 510g,올리고당/물엿/조청/꿀,당류,요리재료,8580,4.9,10,510,1,510,168.24,003698281,https://www.dongwonmall.com/product/detail.do?productId=003698281,동원홈푸드 비비드키친 알룰로스,,,확인필요,,,,,false,false,true
동원 꽁치 230g x 9캔,고등어/꽁치통조림,통조림,반찬,27000,4.8,10,230,9,2070,130.43,001360952,https://www.dongwonmall.com/product/detail.do?productId=001360952,동원 꽁치,수산가공/통조림,,"해물, 꽁치",즉석,식재료,캔,,false,false,true
동원 양반 캔갓김치 160g x 5캔,반찬/기타통조림,반찬,반찬,9500,4.9,10,160,5,800,118.75,003565769,https://www.dongwonmall.com/product/detail.do?productId=003565769,동원 양반 캔갓김치,,,확인필요,,,캔,,false,false,true
동원 양반 한우사골시래기국 460g x (1~2인분) 3개,국/탕/찌개,즉석조리식품,간편식사,12000,5,10,460,3,1380,86.96,003566206,https://www.dongwonmall.com/product/detail.do?productId=003566206,동원 양반 한우사골시래기국,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원 양반 수라 통다리 닭볶음탕 490g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5900,4.8,10,490,1,490,120.41,003603761,https://www.dongwonmall.com/product/detail.do?productId=003603761,동원 양반 수라 통다리 닭볶음탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 전통잣죽 285g,죽/스프,즉석조리식품,간편식사,2500,4.7,10,285,1,285,87.72,001478683,https://www.dongwonmall.com/product/detail.do?productId=001478683,동원 양반 전통잣죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 저스트 노슈가 황도 슬라이스 400g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16200,4.5,10,400,6,2400,67.5,003691084,https://www.dongwonmall.com/product/detail.do?productId=003691084,동원 저스트 노슈가 황도 슬라이스,,슬라이스형,확인필요,,,캔,,false,false,true
