상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 프리미엄 동원참치액 900g,고춧가루/액젓,양념,조미료,17980,0,0,900,1,900,199.78,003672223,https://www.dongwonmall.com/product/detail.do?productId=003672223,동원 프리미엄 동원참치액,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원홈푸드 비비드키친 저당 제육볶음양념 250g x 2개,기타양념,양념,조미료,9900,0,0,250,2,500,198,003843498,https://www.dongwonmall.com/product/detail.do?productId=003843498,동원홈푸드 비비드키친 저당 제육볶음양념,소스/조미료,,확인필요,,,,,false,false,true
[4%적립금] 동원 양반 전통잣죽 285g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,134400,0,0,285,72,20520,65.5,003686457,https://www.dongwonmall.com/product/detail.do?productId=003686457,동원 양반 전통잣죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
비비드그린 비건 짜장 180g x 2개,짜장,소스,요리재료,6900,0,0,180,2,360,191.67,003698503,https://www.dongwonmall.com/product/detail.do?productId=003698503,비비드그린 비건 짜장,,,확인필요,,,,,false,false,true
비비드그린 비건 짜장 180g x 2개,메인요리,즉석조리식품,메인요리,6900,0,0,180,2,360,191.67,003698503,https://www.dongwonmall.com/product/detail.do?productId=003698503,비비드그린 비건 짜장,,,확인필요,,,,,false,false,true
비비드그린 비건 짜장 180g x 2개,밑반찬,반찬,반찬,6900,0,0,180,2,360,191.67,003698503,https://www.dongwonmall.com/product/detail.do?productId=003698503,비비드그린 비건 짜장,,,확인필요,,,,,false,false,true
비비드그린 비건 카레 180g x 2개입,카레,소스,요리재료,6900,0,0,180,2,360,191.67,003698501,https://www.dongwonmall.com/product/detail.do?productId=003698501,비비드그린 비건 카레,,,확인필요,,,,,false,false,true
동원참치 살코기 라이트스탠다드 90gx10캔,참치/연어통조림,통조림,반찬/주재료,16500,0,0,90,10,900,183.33,003744171,https://www.dongwonmall.com/product/detail.do?productId=003744171,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 리챔 더블라이트 120g x 9캔,햄/닭가슴살,가공육,반찬/주재료,19800,0,0,120,9,1080,183.33,003567818,https://www.dongwonmall.com/product/detail.do?productId=003567818,동원 리챔 더블라이트,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,false,false,true
동원참치 살코기 라이트스탠다드 90gx20캔,참치/연어통조림,통조림,반찬/주재료,32000,0,0,90,20,1800,177.78,003744172,https://www.dongwonmall.com/product/detail.do?productId=003744172,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
[4%적립금] 동원참치 루피는 참치마요 100g x 60개(1박스),참치/연어통조림,통조림,반찬/주재료,102000,0,0,100,60,6000,170,003687732,https://www.dongwonmall.com/product/detail.do?productId=003687732,동원참치 루피는 참치마요,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
[4%적립금] 동원참치 뽀로로 키즈 100g x 60개(1박스),참치/연어통조림,통조림,반찬/주재료,102000,0,0,100,60,6000,170,003687731,https://www.dongwonmall.com/product/detail.do?productId=003687731,동원참치 뽀로로 키즈,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 마일드참치 150gx20캔,참치/연어통조림,통조림,반찬/주재료,50000,0,0,150,20,3000,166.67,003676408,https://www.dongwonmall.com/product/detail.do?productId=003676408,동원 마일드참치,참치/통조림,플레이크형,마일드,즉석,반찬,캔,,false,false,true
동원 참치액 진 240g,동원참치액,소스,조미료,3980,0,0,240,1,240,165.83,003697555,https://www.dongwonmall.com/product/detail.do?productId=003697555,동원 참치액 진,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 참치액 진 240gx3병,동원참치액,소스,조미료,11940,0,0,240,3,720,165.83,003697910,https://www.dongwonmall.com/product/detail.do?productId=003697910,동원 참치액 진 3병,참치/통조림,플레이크형,확인필요,,반찬,병,,false,false,true
동원 자연산골뱅이탕(얼큰한국물) 300g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,9600,0,0,300,2,600,160,003600772,https://www.dongwonmall.com/product/detail.do?productId=003600772,동원 자연산골뱅이탕,즉석국/탕,국/탕,"해물, 골뱅이",전자레인지,식사대용,캔,,false,false,true
[4%적립금] 동원 양반 참치죽 420g x 20개입 x 3박스,죽/스프,즉석조리식품,간편식사,130000,0,0,420,60,25200,51.59,003686505,https://www.dongwonmall.com/product/detail.do?productId=003686505,동원 양반 참치죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
[4%적립금] 동원 양반 참치죽 287g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,102300,0,0,287,72,20664,49.51,003686358,https://www.dongwonmall.com/product/detail.do?productId=003686358,동원 양반 참치죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
[4%적립금] 동원 양반 백합죽 420g x 20개입 x 3박스,죽/스프,즉석조리식품,간편식사,123800,0,0,420,60,25200,49.13,003686511,https://www.dongwonmall.com/product/detail.do?productId=003686511,동원 양반 백합죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 리챔 프로틴 200g x 6캔,햄/닭가슴살,가공육,반찬/주재료,17400,0,0,200,6,1200,145,003577857,https://www.dongwonmall.com/product/detail.do?productId=003577857,동원 리챔 프로틴,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,false,false,true
동원 리챔 프로틴 200g x 9캔,햄/닭가슴살,가공육,반찬/주재료,25600,0,0,200,9,1800,142.22,003577858,https://www.dongwonmall.com/product/detail.do?productId=003577858,동원 리챔 프로틴,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,false,false,true
[4%적립금] 동원 양반 수라 한우 사골곰탕 460g x 20개입 x 5박스,국/탕/찌개,즉석조리식품,간편식사,129000,0,0,460,100,46000,28.04,003687003,https://www.dongwonmall.com/product/detail.do?productId=003687003,동원 양반 수라 한우 사골곰탕 박스,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원 리챔 순살꼬꼬 200g x 8개 / 닭가슴살햄,햄/닭가슴살,가공육,반찬/주재료,22400,0,0,200,8,1600,140,003688545,https://www.dongwonmall.com/product/detail.do?productId=003688545,동원 리챔 순살꼬꼬 닭가슴살햄,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,false,false,true
동원 참치다시 2kg,분말/액상조미료,조미료,조미료,26980,0,0,2000,1,2000,134.9,003747423,https://www.dongwonmall.com/product/detail.do?productId=003747423,동원 참치다시,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
[2%적립금] 동원 고추참치(덕용) 1880g,참치/연어통조림,통조림,반찬/주재료,24000,0,0,1880,1,1880,127.66,003758623,https://www.dongwonmall.com/product/detail.do?productId=003758623,동원 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,false,false,true
양반 1등비법 듬뿍 밤단팥죽 285g,죽/스프,즉석조리식품,간편식사,3500,0,0,285,1,285,122.81,003733032,https://www.dongwonmall.com/product/detail.do?productId=003733032,양반 1등비법 듬뿍 밤단팥죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 참치액 진 500gx3개,고춧가루/액젓,양념,조미료,17940,0,0,500,3,1500,119.6,003672096,https://www.dongwonmall.com/product/detail.do?productId=003672096,동원 참치액 진,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 참치액 진 500gx3개,동원참치액,소스,조미료,17940,0,0,500,3,1500,119.6,003672096,https://www.dongwonmall.com/product/detail.do?productId=003672096,동원 참치액 진,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
비비드키친 저칼로리 데리야끼소스 285g x 4개,기타양념,양념,조미료,13600,0,0,285,4,1140,119.3,003731347,https://www.dongwonmall.com/product/detail.do?productId=003731347,비비드키친 저칼로리 데리야끼소스,소스/조미료,,확인필요,,,,,false,false,true
동원 양반 캔갓김치 160g x 20캔,반찬/기타통조림,반찬,반찬,36600,0,0,160,20,3200,114.38,003565774,https://www.dongwonmall.com/product/detail.do?productId=003565774,동원 양반 캔갓김치,,,확인필요,,,캔,,false,false,true
