상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 양반 전복죽 287g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.9,136,287,4,1148,74.91,003565285,https://www.dongwonmall.com/product/detail.do?productId=003565285,동원 양반 전복죽,죽류,레토르트죽,"해물, 전복",전자레인지,식사대용,캔,,false,false,true
동원 고등어 400g x 12캔,고등어/꽁치통조림,통조림,반찬,26000,4.9,135,400,12,4800,54.17,003569105,https://www.dongwonmall.com/product/detail.do?productId=003569105,동원 고등어,,,확인필요,,,캔,,false,false,true
동원 자연산골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9280,4.9,133,400,1,400,232,000002197,https://www.dongwonmall.com/product/detail.do?productId=000002197,동원 자연산골뱅이,수산가공/통조림,슬라이스형,골뱅이,즉석,식재료,캔,,false,false,true
동원 양반 들깨닭죽 420g x 4개,죽/스프,즉석조리식품,간편식사,12900,4.9,129,420,4,1680,76.79,001212930,https://www.dongwonmall.com/product/detail.do?productId=001212930,동원 양반 들깨닭죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 밤단팥죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5,129,420,10,4200,56.9,003565764,https://www.dongwonmall.com/product/detail.do?productId=003565764,동원 양반 밤단팥죽,죽류,레토르트죽,"단팥, 밤",전자레인지,식사대용,파우치,,false,false,true
동원참치 살코기 라이트스탠다드 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,5,126,100,3,300,176.67,000135680,https://www.dongwonmall.com/product/detail.do?productId=000135680,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
[4%적립금] 동원 자연산꽁치 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,79000,5,126,400,24,9600,82.29,003687735,https://www.dongwonmall.com/product/detail.do?productId=003687735,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,false,false,true
동원참치 살코기 라이트스탠다드 85g,참치/연어통조림,통조림,반찬/주재료,2200,4.9,125,85,1,85,258.82,000580696,https://www.dongwonmall.com/product/detail.do?productId=000580696,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
[4%적립금] 동원 저스트 노슈가 스위트콘 340g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,29500,5,125,340,24,8160,36.15,003691055,https://www.dongwonmall.com/product/detail.do?productId=003691055,동원 저스트 노슈가 스위트콘,,,확인필요,,,캔,,false,false,true
동원 양반 밤단팥죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,123,420,4,1680,64.88,003565763,https://www.dongwonmall.com/product/detail.do?productId=003565763,동원 양반 밤단팥죽,죽류,레토르트죽,"단팥, 밤",전자레인지,식사대용,파우치,,false,false,true
동원참치 고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.7,122,150,10,1500,180,000523844,https://www.dongwonmall.com/product/detail.do?productId=000523844,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원 고등어 400g x 9캔,고등어/꽁치통조림,통조림,반찬,20000,5,122,400,9,3600,55.56,000034040,https://www.dongwonmall.com/product/detail.do?productId=000034040,동원 고등어,,,확인필요,,,캔,,false,false,true
동원 복숭아 백도 400g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,26000,4.9,122,400,12,4800,54.17,001479844,https://www.dongwonmall.com/product/detail.do?productId=001479844,동원 복숭아 백도,,,확인필요,,,캔,,false,false,true
[4%적립금] 동원 고등어 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,45900,5,121,400,24,9600,47.81,003687738,https://www.dongwonmall.com/product/detail.do?productId=003687738,동원 고등어,,,확인필요,,,,,false,false,true
동원참치 살코기 라이트스탠다드 85g x 60캔(1박스),참치/연어통조림,통조림,반찬/주재료,91200,5,120,85,60,5100,178.82,000858002,https://www.dongwonmall.com/product/detail.do?productId=000858002,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
동원 저스트 노슈가 스위트콘 340g,과일/옥수수/팥,통조림,간식/요리재료,1480,4.9,118,340,1,340,43.53,003691018,https://www.dongwonmall.com/product/detail.do?productId=003691018,동원 저스트 노슈가 스위트콘,,,확인필요,,,,,false,false,true
동원 자연산골뱅이 230g,골뱅이/수산통조림,통조림,안주/반찬,6480,4.9,117,230,1,230,281.74,000002196,https://www.dongwonmall.com/product/detail.do?productId=000002196,동원 자연산골뱅이,수산가공/통조림,슬라이스형,골뱅이,즉석,식재료,캔,,false,false,true
동원 자연산꽁치 400g x 6캔,고등어/꽁치통조림,통조림,반찬,25800,5,116,400,6,2400,107.5,003569011,https://www.dongwonmall.com/product/detail.do?productId=003569011,동원 자연산꽁치,수산가공/통조림,블록형,꽁치,즉석,식재료,캔,,false,false,true
동원참치 고추참치 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9400,5,115,85,5,425,221.18,000664371,https://www.dongwonmall.com/product/detail.do?productId=000664371,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원 양반 쇠고기죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5,114,420,10,4200,56.9,003565753,https://www.dongwonmall.com/product/detail.do?productId=003565753,동원 양반 쇠고기죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15900,4.9,112,460,3,1380,115.22,001478663,https://www.dongwonmall.com/product/detail.do?productId=001478663,동원 양반 수라 통다리 삼계탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 전복죽 287g,죽/스프,즉석조리식품,간편식사,2500,4.9,111,287,1,287,87.11,000002219,https://www.dongwonmall.com/product/detail.do?productId=000002219,동원 양반 전복죽,죽류,레토르트죽,"해물, 전복",전자레인지,식사대용,캔,,false,false,true
동원 양반 한우사골시래기국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,110,460,1,460,93.48,001312547,https://www.dongwonmall.com/product/detail.do?productId=001312547,동원 양반 한우사골시래기국,즉석국/탕,국/탕,한우사골,전자레인지,식사대용,파우치,,false,false,true
동원참치 살코기 라이트스탠다드 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9200,5,107,85,5,425,216.47,000624401,https://www.dongwonmall.com/product/detail.do?productId=000624401,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
동원참치 고추참치 85g,참치/연어통조림,통조림,반찬/주재료,2200,5,105,85,1,85,258.82,000655619,https://www.dongwonmall.com/product/detail.do?productId=000655619,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원참치 DHA 150g x 48캔 (1박스),참치/연어통조림,통조림,반찬/주재료,103000,5,105,150,48,7200,143.06,000002622,https://www.dongwonmall.com/product/detail.do?productId=000002622,동원참치 DHA,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 양반 쇠고기죽 287g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,105,287,4,1148,66.2,003565312,https://www.dongwonmall.com/product/detail.do?productId=003565312,동원 양반 쇠고기죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 양반 진국 소고기무국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,104,460,1,460,93.48,001243326,https://www.dongwonmall.com/product/detail.do?productId=001243326,동원 양반 진국 소고기무국,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 밤단팥죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,103,285,4,1140,66.67,003565332,https://www.dongwonmall.com/product/detail.do?productId=003565332,동원 양반 밤단팥죽,죽류,레토르트죽,"단팥, 밤",전자레인지,식사대용,파우치,,false,false,true
동원 양반 단호박죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.8,103,420,4,1680,64.88,003565756,https://www.dongwonmall.com/product/detail.do?productId=003565756,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
