Q&A,categories
SQ2. 식품 주구입자  1) 집에서 먹는 식품의 대부분을 내가 직접 구입한다,
SQ2. 식품 주구입자  2) 집에서 먹는 식품의 대부분을 구입하는 가구원이 따로 있다,
A1. 가공식품 구입 주기  1) 매일 1회 이상,
A1. 가공식품 구입 주기  2) 주 4~6회,
A1. 가공식품 구입 주기  3) 주 2~3회,
A1. 가공식품 구입 주기  4) 주 1회,
A1. 가공식품 구입 주기  5) 2주일에 1회,
A1. 가공식품 구입 주기  6) 1달에 1회,
A1. 가공식품 구입 주기  7) 그보다 드물게,
A1. 가공식품 구입 주기  8) 구입하지 않음,
A2 .가공식품 구입 시 고려 기준_1순위  1) 가격,['price_sensitivity']
A2 .가공식품 구입 시 고려 기준_1순위  2) 맛,
A2 .가공식품 구입 시 고려 기준_1순위  3) 안전성,['health_orientation']
A2 .가공식품 구입 시 고려 기준_1순위  4) 품질,['premium_orientation']
A2 .가공식품 구입 시 고려 기준_1순위  5) 영양(건강),['health_orientation']
"A2 .가공식품 구입 시 고려 기준_1순위  6) 신선도 (제조일자, 소비(유통)기한 포함)",['health_orientation']
A2 .가공식품 구입 시 고려 기준_1순위  7) 구입의 편리성,['cooking_convenience']
A2 .가공식품 구입 시 고려 기준_1순위  8) 조리의 편리성,['cooking_convenience']
A2 .가공식품 구입 시 고려 기준_2순위  1) 가격,['price_sensitivity']
A2 .가공식품 구입 시 고려 기준_2순위  2) 맛,
A2 .가공식품 구입 시 고려 기준_2순위  3) 안전성,['health_orientation']
A2 .가공식품 구입 시 고려 기준_2순위  4) 품질,['premium_orientation']
A2 .가공식품 구입 시 고려 기준_2순위  5) 영양(건강),['health_orientation']
"A2 .가공식품 구입 시 고려 기준_2순위  6) 신선도 (제조일자, 소비(유통)기한 포함)",['health_orientation']
A2 .가공식품 구입 시 고려 기준_2순위  7) 구입의 편리성,['cooking_convenience']
A2 .가공식품 구입 시 고려 기준_2순위  8) 조리의 편리성,['cooking_convenience']
A5-1. 지출액 규모 큰 가공식품 만족도(가격)  1) 매우 불만족 한다,['price_sensitivity']
A5-1. 지출액 규모 큰 가공식품 만족도(가격)  2) 불만족하는 편이다,['price_sensitivity']
A5-1. 지출액 규모 큰 가공식품 만족도(가격)  3) 보통이다,['price_sensitivity']
A5-1. 지출액 규모 큰 가공식품 만족도(가격)  4) 만족하는 편이다,['price_sensitivity']
A5-1. 지출액 규모 큰 가공식품 만족도(가격)  5) 매우 만족한다,['price_sensitivity']
A5-2. 지출액 규모 큰 가공식품 만족도(품질)  1) 매우 불만족 한다,"['price_sensitivity', 'premium_orientation']"
A5-2. 지출액 규모 큰 가공식품 만족도(품질)  2) 불만족하는 편이다,"['price_sensitivity', 'premium_orientation']"
A5-2. 지출액 규모 큰 가공식품 만족도(품질)  3) 보통이다,"['price_sensitivity', 'premium_orientation']"
A5-2. 지출액 규모 큰 가공식품 만족도(품질)  4) 만족하는 편이다,"['price_sensitivity', 'premium_orientation']"
A5-2. 지출액 규모 큰 가공식품 만족도(품질)  5) 매우 만족한다,"['price_sensitivity', 'premium_orientation']"
A5-3. 지출액 규모 큰 가공식품 만족도(맛)  1) 매우 불만족 한다,['price_sensitivity']
