id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking',cluster,'brand_loyalty'_scaled,'cooking_convenience'_scaled,'health_orientation'_scaled,'hmr_preference'_scaled,'premium_orientation'_scaled,'price_sensitivity'_scaled,'variety_seeking'_scaled
4B043022,여자,50대,단순노무 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,0.1686266274674506,0.1706461358542052,0.0796391843038152,0.134023464458247,0.1063872793424066,0.1359953703703703,0.1999200319872051,3,0.5395522388059701,0.5978955279969934,0.3705016357688113,0.8041136141038193,0.4687296416938111,0.3158625477264835,0.4086956521739129
3G103032,남자,30대,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),울산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.2648047039059218,0.1875060910242666,0.0964866098066055,0.1478260869565217,0.1437811615685217,0.1457368827160493,0.2483006797281088,3,0.8813432835820895,0.6629086809470122,0.5013631406761172,0.9020568070519096,0.6495114006514657,0.35091981950711515,0.5665217391304348
3G103036,남자,30대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),울산광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.2629147417051659,0.1920865412727804,0.0951528552876347,0.1505866114561766,0.1366392669451556,0.1411072530864197,0.23723843795815,3,0.8746268656716418,0.6805712138293873,0.49100327153762297,0.9216454456415274,0.614983713355049,0.33425893786879524,0.5304347826086953
3B043005,여자,20대,전문가 및 관련 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.246955060898782,0.1852645940941429,0.0899582324242743,0.1395445134575569,0.124242015900822,0.1673418209876543,0.2265760362521658,3,0.817910447761194,0.6542653137918076,0.45065430752453645,0.8432908912830556,0.5550488599348538,0.4286706004859422,0.4956521739130434
3G103040,여자,50대,서비스 종사자,고졸(대학 재학 포함),울산광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.2158756824863502,0.2300945326966182,0.0743743638341932,0.1478260869565217,0.0900148228001617,0.1469907407407407,0.218979075036652,3,0.707462686567164,0.8271326568959034,0.3296074154852779,0.9020568070519096,0.3895765472312707,0.3554321416174937,0.4708695652173912
3B043015,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,0.2102057958840823,0.1482311665529675,0.0966270050191288,0.134023464458247,0.1201994340385392,0.1705246913580247,0.195921631347461,3,0.687313432835821,0.5114618564449454,0.5024536532170119,0.8041136141038193,0.5355048859934852,0.44012495661228734,0.3956521739130433
1A000848,여자,60대 이상,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0.1539269214615707,0.2466621187018809,0.0760240075813414,0.134023464458247,0.0821317881687104,0.1300154320987654,0.1652672264427562,0,0.4873134328358208,0.8910184141300261,0.3424209378407848,0.8041136141038193,0.3514657980456029,0.2943422422769869,0.2956521739130433
1A000851,여자,60대 이상,주부,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 하지 않음,700-800만원 미만,0.1921461570768584,0.258356885293831,0.0792179986662454,0.1505866114561766,0.1036248484031801,0.1413966049382716,0.1759296281487405,3,0.6231343283582089,0.9361142427658773,0.36723009814612834,0.9216454456415274,0.4553745928338763,0.33530024297119054,0.3304347826086955
1A000555,여자,50대,판매 종사자,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1117177656446871,0.1531039859662801,0.1054368046049629,0.1505866114561766,0.1086106993666621,0.2044753086419753,0.2243102758896441,1,0.33731343283582105,0.5302517850432169,0.5708833151581238,0.9216454456415274,0.4794788273615635,0.5623047552933008,0.4882608695652172
4K185022,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 함,400-500만원 미만,0.1877362452750945,0.1248416333690673,0.1042785441016461,0.1285024154589372,0.1311817814310739,0.1648341049382716,0.2283086765293882,3,0.6074626865671644,0.42127019917324304,0.561886586695747,0.7649363369245838,0.5885993485342018,0.41964595626518564,0.5013043478260867
4D054003,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,800-900만원 미만,0.1585468290634187,0.2164506383393431,0.0750412410936787,0.136783988957902,0.0883304136908772,0.1833526234567901,0.1705984272957483,3,0.5037313432835822,0.7745208568207439,0.3347873500545258,0.8237022526934379,0.3814332247557005,0.4862894828184656,0.3130434782608693
4D054006,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0.1343973120537589,0.2442257089952246,0.0376610157593626,0.1388543823326432,0.0574720388087858,0.1642554012345679,0.1412768226042916,0,0.4179104477611941,0.8816234498308905,0.04443838604143979,0.8383937316356512,0.2322475570032573,0.4175633460603956,0.21739130434782608
1C000357,여자,50대,판매 종사자,고졸(대학 재학 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.0888282234355312,0.1150959945424422,0.1436594012144186,0.136783988957902,0.1250505322732785,0.122974537037037,0.117286418765827,1,0.25597014925373124,0.3836903419767003,0.8677753544165758,0.8237022526934379,0.5589576547231272,0.26900381811870855,0.1391304347826087
1F000278,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),광주광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.115077698446031,0.1657733164408927,0.103927556070338,0.136783988957902,0.0687912680231774,0.1118827160493827,0.1679328268692523,1,0.3492537313432834,0.5791055993987222,0.5591603053435117,0.8237022526934379,0.286970684039088,0.22908712252690025,0.30434782608695643
4I208004,여자,60대 이상,농림어업 숙련 종사자,중졸 이하,경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100만원 미만,0.1123477530449391,0.1423837832569925,0.0846232143483907,0.1312629399585921,0.0753267753672011,0.1079282407407407,0.2452352392376383,0,0.3395522388059703,0.48891394212701994,0.40921483097055616,0.7845249755142015,0.31856677524429966,0.2148559527941685,0.5565217391304347
4K185025,여자,50대,서비스 종사자,중졸 이하,전라북도,1인 가구,기혼,맞벌이 하지 않음,100-200만원 미만,0.1289374212515749,0.1355618360783549,0.1130883436874802,0.134023464458247,0.0962808246866999,0.1518132716049383,0.1612688258030121,1,0.39850746268656706,0.46260804208944,0.630316248636859,0.8041136141038193,0.41986970684039127,0.3727872266574106,0.28260869565217384
1H001250,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,500-600만원 미만,0.1091978160436791,0.1501802943182925,0.102979888385806,0.1561076604554865,0.1221533486053092,0.1304976851851852,0.2572304411568706,3,0.32835820895522394,0.5189778278842537,0.5517993456924752,0.9608227228207636,0.5449511400651466,0.29607775078097887,0.5956521739130434
3B043025,남자,20대,학생,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,0.2215455690886182,0.1219179417210798,0.074409462637324,0.1312629399585921,0.1121816466783452,0.1677276234567901,0.2145808343329335,3,0.7276119402985075,0.4099962420142803,0.32988004362050133,0.7845249755142015,0.49674267100977215,0.4300590072891355,0.4565217391304347
3B027008,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100만원 미만,0.1845863082738345,0.1394600916090049,0.0783756273911059,0.1285024154589372,0.0669721061851502,0.1790123456790123,0.2669598827135813,3,0.5962686567164179,0.477639984968057,0.3606870229007631,0.7649363369245838,0.2781758957654725,0.4706699062825406,0.6273913043478261
1H001266,여자,50대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,"900-1,000만원 미만",0.0930281394372112,0.1920865412727804,0.0843424239233442,0.1561076604554865,0.105915644791807,0.1812307098765432,0.2225776356124217,0,0.27089552238805964,0.6805712138293873,0.40703380588876786,0.9608227228207636,0.46644951140065166,0.47865324540090226,0.4826086956521738
4K185003,여자,50대,사무 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1854262914741705,0.1255238280869311,0.1327085746376048,0.1336093857832988,0.1351569869289853,0.1723572530864197,0.2119152339064374,1,0.5992537313432837,0.4239007891770012,0.7827153762268262,0.801175318315377,0.6078175895765475,0.4467198889274554,0.4478260869565216
3B027012,남자,20대,기능원 및 관련 기능 종사자,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1627467450650987,0.143358347139655,0.0901337264399284,0.136783988957902,0.0805147554237973,0.1389853395061728,0.1999200319872051,3,0.5186567164179107,0.4926719278466742,0.45201744820065454,0.8237022526934379,0.3436482084690556,0.3266227004512321,0.4086956521739129
1C000362,여자,60대 이상,주부,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,0.1766064678706425,0.1121723028944547,0.1107718226808466,0.1395445134575569,0.0929120064681309,0.1165123456790123,0.1083566573370651,1,0.5679104477611938,0.37241638481773764,0.612322791712105,0.8432908912830556,0.4035830618892508,0.24574800416522016,0.10999999999999974
1H001270,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,600-700만원 미만,0.1749265014699706,0.2398401715232433,0.0904145168649749,0.1561076604554865,0.105376633876836,0.1811342592592592,0.2332400373184059,3,0.5619402985074629,0.8647125140924462,0.45419847328244295,0.9608227228207636,0.4638436482084694,0.4783061437001038,0.5173913043478258
3B027016,남자,20대,장치·기계 조작 및 조립 종사자,대학교 졸업(전문대졸/대학원생 포함),부산광역시,2세대가족,미혼(사별/이혼 포함),맞벌이 하지 않음,500-600만원 미만,0.1545569088618227,0.1394600916090049,0.0810080376259169,0.134023464458247,0.0659614607195795,0.2301311728395061,0.2558976409436225,0,0.48955223880597004,0.477639984968057,0.3811341330425298,0.8041136141038193,0.2732899022801304,0.6546338077056574,0.5913043478260867
3B043045,여자,50대,사무 종사자,중졸 이하,부산광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.2060058798824023,0.1609004970275801,0.0696009266084026,0.134023464458247,0.1109688721196604,0.1457368827160493,0.195921631347461,3,0.6723880597014925,0.5603156708004507,0.29252998909487443,0.8041136141038193,0.49087947882736177,0.35091981950711515,0.3956521739130433
4K185012,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),전라북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1671566568668626,0.1306890166650424,0.1243901582956021,0.1505866114561766,0.1405470960786956,0.1372492283950617,0.1799280287884846,1,0.5343283582089552,0.4438181134911688,0.7181025081788439,0.9216454456415274,0.6338762214983715,0.32037486983686203,0.3434782608695651
3B027020,남자,20대,서비스 종사자,고졸(대학 재학 포함),부산광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.117597648047039,0.1233797875450735,0.109367870555614,0.1360938578329882,0.120334186767282,0.1427469135802469,0.143009462881514,1,0.3582089552238805,0.4156332205937615,0.6014176663031623,0.8188050930460328,0.5361563517915311,0.3401596667823672,0.22304347826086937
4D054009,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.0705585888282234,0.1340999902543611,0.0788319118318065,0.1333333333333333,0.1055113866055787,0.1767939814814815,0.1452752232440357,0,0.19104477611940304,0.45697106350995836,0.3642311886586696,0.7992164544564151,0.4644951140065147,0.4626865671641791,0.23043478260869557
4K185019,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),전라북도,1인 가구,기혼,맞벌이 하지 않음,200-300만원 미만,0.0839983200335993,0.1248416333690673,0.134744305219192,0.1450655624568668,0.130305888694246,0.1413966049382716,0.1905904304944689,1,0.23880597014925384,0.42127019917324304,0.7985278080697928,0.8824681684622918,0.5843648208469056,0.33530024297119054,0.3782608695652173
3B043030,남자,20대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.2148257034859302,0.1501802943182925,0.0694956301990102,0.134023464458247,0.1394016978843821,0.1633873456790123,0.1785952285752365,3,0.7037313432835819,0.5189778278842537,0.2917121046892041,0.8041136141038193,0.6283387622149836,0.41443943075321044,0.3391304347826084
1H002165,여자,30대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.116967660646787,0.1219179417210798,0.1211961672106981,0.1395445134575569,0.1709338364101873,0.1375385802469136,0.1026256164200986,1,0.35597014925373127,0.4099962420142803,0.6932933478735006,0.8432908912830556,0.780781758957655,0.3214161749392571,0.0913043478260869
3B027024,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.1482570348593028,0.1141214306597797,0.0845530167421291,0.1174603174603174,0.0764047971971432,0.1586612654320987,0.2572304411568706,0,0.46716417910447766,0.3799323562570461,0.4086695747001094,0.6865817825661112,0.32377850162866467,0.3974314474140921,0.5956521739130434
3D052005,여자,20대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.1837463250734985,0.1326381444303674,0.1250570355550875,0.136783988957902,0.1507883034631451,0.1254822530864197,0.1759296281487405,1,0.5932835820895523,0.4513340849304773,0.7232824427480911,0.8237022526934379,0.6833876221498372,0.2780284623394652,0.3304347826086955
4D054012,여자,40대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1276774464510709,0.1506675762596238,0.0984872415850619,0.1278122843340234,0.1016035574720388,0.1787229938271605,0.1092896174863388,1,0.3940298507462685,0.520856820744081,0.5169029443838602,0.7600391772771787,0.4456026058631925,0.4696286011801457,0.11304347826086955
4I208012,여자,60대 이상,주부,고졸(대학 재학 포함),경상북도,1세대가족,기혼,맞벌이 하지 않음,200-300만원 미만,0.0783284334313313,0.1399473735503362,0.0766557860376961,0.1278122843340234,0.0610429861204689,0.1070601851851851,0.3052112488337998,0,0.21865671641791043,0.4795189778278843,0.3473282442748093,0.7600391772771787,0.24951140065146596,0.21173203748698335,0.752173913043478
4K185034,여자,50대,서비스 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 하지 않음,200-300만원 미만,0.0636287274254514,0.1375109638436799,0.1455196377803517,0.1533471359558316,0.1268023177469343,0.1369598765432098,0.2323070771691323,1,0.1664179104477611,0.4701240135287484,0.8822246455834244,0.9412340842311459,0.5674267100977197,0.31933356473446683,0.5143478260869563
4D054015,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0.1110877782444351,0.1321508624890361,0.0618791899196237,0.1333333333333333,0.0686565152944347,0.1594328703703703,0.234572837531654,0,0.33507462686567174,0.44945509207065,0.23255179934569242,0.7992164544564151,0.2863192182410427,0.4002082610204787,0.5217391304347825
3D052050,여자,60대 이상,장치·기계 조작 및 조립 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.2043259134817303,0.1378033330084787,0.1078937208241199,0.1285024154589372,0.1443875488478641,0.1564429012345679,0.2065840330534453,3,0.6664179104477611,0.47125140924464487,0.5899672846237733,0.7649363369245838,0.6524429967426709,0.3894481082957305,0.4304347826086956
1C000363,여자,60대 이상,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),인천광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1293574128517429,0.1150959945424422,0.1327436734407356,0.136783988957902,0.0570004042581862,0.1017554012345679,0.1683326669332267,1,0.3999999999999999,0.3836903419767003,0.7829880043620496,0.8237022526934379,0.22996742671009798,0.19264144394307528,0.30565217391304345
