date,매출,동원 참치액
2020-01-01,23996,81.51676
2020-02-01,19734,66.14196
2020-03-01,27415,65.21076
2020-04-01,21704,73.83019
2020-05-01,25111,60.02949
2020-06-01,28511,47.26106
2020-07-01,21240,79.71401
2020-08-01,21604,85.66576
2020-09-01,28190,79.86645
2020-10-01,20689,43.65224
2020-11-01,22453,44.2769
2020-12-01,35025,67.13282
2021-01-01,21606,74.17981
2021-02-01,21096,51.75304
2021-03-01,23520,46.52041
2021-04-01,18468,46.3862
2021-05-01,19391,46.17411
2021-06-01,24708,43.91569
2021-07-01,21990,54.10094
2021-08-01,20702,68.38215
2021-09-01,27192,64.62254
2021-10-01,19820,41.59099
2021-11-01,21742,47.08874
2021-12-01,25568,46.35637
2022-01-01,22789,70.8742
2022-02-01,18970,50.47554
2022-03-01,25570,51.60558
2022-04-01,20243,55.6419
2022-05-01,20725,49.22952
2022-06-01,27592,49.47971
2022-07-01,23434,51.59398
2022-08-01,23391,80.57396
2022-09-01,29090,71.72587
2022-10-01,23321,52.50033
2022-11-01,26243,57.78764
2022-12-01,31819,58.39574
2023-01-01,26268,93.98362
2023-02-01,22721,65.6863
2023-03-01,29015,64.51153
2023-04-01,22047,58.03453
2023-05-01,22771,62.75516
2023-06-01,31007,64.20168
2023-07-01,25439,60.20844
2023-08-01,26093,76.5045
2023-09-01,33051,100.0
2023-10-01,21829,59.36671
2023-11-01,27181,56.45711
2023-12-01,32140,55.79765
