date,동원 참치액
2020-01-01,81.51676
2020-02-01,66.14196
2020-03-01,65.21076
2020-04-01,73.83019
2020-05-01,60.02949
2020-06-01,47.26106
2020-07-01,79.71401
2020-08-01,85.66576
2020-09-01,79.86645
2020-10-01,43.65224
2020-11-01,44.2769
2020-12-01,67.13282
2021-01-01,74.17981
2021-02-01,51.75304
2021-03-01,46.52041
2021-04-01,46.3862
2021-05-01,46.17411
2021-06-01,43.91569
2021-07-01,54.10094
2021-08-01,68.38215
2021-09-01,64.62254
2021-10-01,41.59099
2021-11-01,47.08874
2021-12-01,46.35637
2022-01-01,70.8742
2022-02-01,50.47554
2022-03-01,51.60558
2022-04-01,55.6419
2022-05-01,49.22952
2022-06-01,49.47971
2022-07-01,51.59398
2022-08-01,80.57396
2022-09-01,71.72587
2022-10-01,52.50033
2022-11-01,57.78764
2022-12-01,58.39574
2023-01-01,93.98362
2023-02-01,65.6863
2023-03-01,64.51153
2023-04-01,58.03453
2023-05-01,62.75516
2023-06-01,64.20168
2023-07-01,60.20844
2023-08-01,76.5045
2023-09-01,100.0
2023-10-01,59.36671
2023-11-01,56.45711
2023-12-01,55.79765
