date,리챔
2021-01-01,100.0
2021-02-01,80.24935
2021-03-01,54.06678
2021-04-01,49.398
2021-05-01,54.44937
2021-06-01,49.62542
2021-07-01,60.92144
2021-08-01,82.56367
2021-09-01,90.22634
2021-10-01,54.42797
2021-11-01,48.44285
2021-12-01,53.56378
2022-01-01,88.03777
2022-02-01,59.30811
2022-03-01,54.06678
2022-04-01,47.12917
2022-05-01,51.00599
2022-06-01,54.26209
2022-07-01,71.91245
2022-08-01,88.76551
2022-09-01,81.40517
2022-10-01,52.3919
2022-11-01,54.98448
2022-12-01,64.35145
2023-01-01,96.87232
2023-02-01,68.45569
2023-03-01,61.3736
2023-04-01,57.22923
2023-05-01,59.25727
2023-06-01,55.69616
2023-07-01,58.83989
2023-08-01,63.35883
2023-09-01,80.04601
2023-10-01,49.56656
2023-11-01,40.88987
2023-12-01,45.88773
