id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking',cluster,'brand_loyalty'_scaled,'cooking_convenience'_scaled,'health_orientation'_scaled,'hmr_preference'_scaled,'premium_orientation'_scaled,'price_sensitivity'_scaled,'variety_seeking'_scaled
4I209035,남자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경상북도,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.0755984880302394,0.1269856739109248,0.100733564985434,0.1191166321601104,0.068723891658806,0.1118827160493827,0.235905637744902,0,0.2089552238805972,0.4295377677564823,0.5343511450381682,0.6983349657198823,0.2866449511400651,0.2290871225269002,0.5260869565217389
4A016018,남자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,1세대가족,기혼,맞벌이 함,600-700만원 미만,0.0503989920201596,0.1823409024461553,0.1180021761257941,0.1478260869565217,0.0830076809055383,0.160108024691358,0.2039184326269492,1,0.1194029850746271,0.6429913566328446,0.6684841875681571,0.9020568070519096,0.3557003257328992,0.402637972926067,0.4217391304347824
4Q110003,남자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),세종특별자치시,1세대가족,기혼,맞벌이 함,400-500만원 미만,0.2568248635027299,0.2408147354059058,0.045101962023095,0.1478260869565217,0.0871176391321924,0.1836419753086419,0.1732640277222444,3,0.8529850746268658,0.8684704998121004,0.1022355507088333,0.9020568070519096,0.3755700325732902,0.4873307879208605,0.3217391304347824
4N178061,남자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),충청남도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.123897522049559,0.1652860344995614,0.0566143694500017,0.1305728088336784,0.0801778736019404,0.0887345679012345,0.1839264294282287,0,0.3805970149253733,0.5772266065388949,0.191657579062159,0.7796278158667972,0.3420195439739416,0.1457827143352999,0.3565217391304347
3N176040,남자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),충청남도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1035279294414111,0.1808790566221615,0.0664069355234986,0.1305728088336784,0.0635359116022099,0.089699074074074,0.1519392243102759,0,0.3082089552238805,0.637354378053363,0.267720828789531,0.7796278158667972,0.2615635179153096,0.1492537313432833,0.2521739130434782
1O001117,남자,30대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),강원도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,400-500만원 미만,0.0703485930281394,0.1297144527823799,0.098276648766277,0.1423050379572118,0.0692629025737771,0.1585648148148148,0.2136478741836599,0,0.1902985074626866,0.4400601277715145,0.5152671755725187,0.8628795298726734,0.2892508143322478,0.3970843457132939,0.4534782608695652
4B037016,남자,30대,전문가 및 관련 종사자,대학원 졸업 이상,부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.1024779504409911,0.147256602670305,0.0841669299076901,0.1395445134575569,0.0778870772133135,0.1551890432098765,0.2465680394508863,0,0.3044776119402984,0.5077038707252911,0.4056706652126499,0.8432908912830556,0.3309446254071662,0.384935786185352,0.5608695652173911
3H123002,남자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.1035279294414111,0.148036253776435,0.0537011687901442,0.1195307108350586,0.0803800026950545,0.0813078703703703,0.1909902705584433,0,0.3082089552238805,0.5107102593010145,0.169029443838604,0.7012732615083248,0.3429967426710098,0.1190558833738282,0.3795652173913043
4A024006,남자,30대,판매 종사자,고졸(대학 재학 포함),서울특별시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1679966400671986,0.14920573043563,0.1025236039451054,0.1423050379572118,0.1145398194313434,0.150366512345679,0.1336798613887778,1,0.5373134328358209,0.5152198421645996,0.548255179934569,0.8628795298726734,0.5081433224755699,0.3675807011454355,0.1926086956521738
4K187042,남자,30대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),전라북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1041579168416631,0.1189942500730922,0.1086658944929978,0.1423050379572118,0.1499797870906885,0.1876929012345679,0.1852592296414767,1,0.3104477611940298,0.3987222848553172,0.5959651035986915,0.8628795298726734,0.6794788273615633,0.5019090593543907,0.3608695652173911
