id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking',cluster_kmeans,cluster_gmm,cluster_hc,cluster_dbscan
4B043022,여자,50대,단순노무 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,0.1686266274674506,0.1706461358542052,0.0796391843038152,0.134023464458247,0.1063872793424066,0.1359953703703703,0.1999200319872051,1,1,1,0
3G103032,남자,30대,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),울산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.2648047039059218,0.1875060910242666,0.0964866098066055,0.1478260869565217,0.1437811615685217,0.1457368827160493,0.2483006797281088,1,1,2,0
3G103036,남자,30대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),울산광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.2629147417051659,0.1920865412727804,0.0951528552876347,0.1505866114561766,0.1366392669451556,0.1411072530864197,0.23723843795815,1,1,2,0
3B043005,여자,20대,전문가 및 관련 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.246955060898782,0.1852645940941429,0.0899582324242743,0.1395445134575569,0.124242015900822,0.1673418209876543,0.2265760362521658,1,1,2,0
3G103040,여자,50대,서비스 종사자,고졸(대학 재학 포함),울산광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.2158756824863502,0.2300945326966182,0.0743743638341932,0.1478260869565217,0.0900148228001617,0.1469907407407407,0.218979075036652,1,1,2,0
3B043015,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,0.2102057958840823,0.1482311665529675,0.0966270050191288,0.134023464458247,0.1201994340385392,0.1705246913580247,0.195921631347461,1,0,0,0
1A000848,여자,60대 이상,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0.1539269214615707,0.2466621187018809,0.0760240075813414,0.134023464458247,0.0821317881687104,0.1300154320987654,0.1652672264427562,0,1,1,0
1A000851,여자,60대 이상,주부,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 하지 않음,700-800만원 미만,0.1921461570768584,0.258356885293831,0.0792179986662454,0.1505866114561766,0.1036248484031801,0.1413966049382716,0.1759296281487405,1,1,2,0
1A000555,여자,50대,판매 종사자,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1117177656446871,0.1531039859662801,0.1054368046049629,0.1505866114561766,0.1086106993666621,0.2044753086419753,0.2243102758896441,2,2,0,0
4K185022,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 함,400-500만원 미만,0.1877362452750945,0.1248416333690673,0.1042785441016461,0.1285024154589372,0.1311817814310739,0.1648341049382716,0.2283086765293882,1,1,0,0
4D054003,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,800-900만원 미만,0.1585468290634187,0.2164506383393431,0.0750412410936787,0.136783988957902,0.0883304136908772,0.1833526234567901,0.1705984272957483,1,0,1,0
4D054006,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0.1343973120537589,0.2442257089952246,0.0376610157593626,0.1388543823326432,0.0574720388087858,0.1642554012345679,0.1412768226042916,0,0,1,0
1C000357,여자,50대,판매 종사자,고졸(대학 재학 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.0888282234355312,0.1150959945424422,0.1436594012144186,0.136783988957902,0.1250505322732785,0.122974537037037,0.117286418765827,2,2,0,0
1F000278,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),광주광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.115077698446031,0.1657733164408927,0.103927556070338,0.136783988957902,0.0687912680231774,0.1118827160493827,0.1679328268692523,2,0,0,0
4I208004,여자,60대 이상,농림어업 숙련 종사자,중졸 이하,경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100만원 미만,0.1123477530449391,0.1423837832569925,0.0846232143483907,0.1312629399585921,0.0753267753672011,0.1079282407407407,0.2452352392376383,0,1,1,0
4K185025,여자,50대,서비스 종사자,중졸 이하,전라북도,1인 가구,기혼,맞벌이 하지 않음,100-200만원 미만,0.1289374212515749,0.1355618360783549,0.1130883436874802,0.134023464458247,0.0962808246866999,0.1518132716049383,0.1612688258030121,2,0,0,0
1H001250,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,500-600만원 미만,0.1091978160436791,0.1501802943182925,0.102979888385806,0.1561076604554865,0.1221533486053092,0.1304976851851852,0.2572304411568706,1,1,1,0
1F000289,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),광주광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,0.1028979420411591,0.063346652373063,0.1057877926362711,0.0262249827467218,0.0788303463145128,0.0974151234567901,0.1799280287884846,3,3,3,1
3B043025,남자,20대,학생,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,0.2215455690886182,0.1219179417210798,0.074409462637324,0.1312629399585921,0.1121816466783452,0.1677276234567901,0.2145808343329335,1,0,2,0
3B027008,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100만원 미만,0.1845863082738345,0.1394600916090049,0.0783756273911059,0.1285024154589372,0.0669721061851502,0.1790123456790123,0.2669598827135813,1,0,2,0
1H001266,여자,50대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,"900-1,000만원 미만",0.0930281394372112,0.1920865412727804,0.0843424239233442,0.1561076604554865,0.105915644791807,0.1812307098765432,0.2225776356124217,0,1,1,0
4K185003,여자,50대,사무 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1854262914741705,0.1255238280869311,0.1327085746376048,0.1336093857832988,0.1351569869289853,0.1723572530864197,0.2119152339064374,2,0,0,0
3B027012,남자,20대,기능원 및 관련 기능 종사자,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.1627467450650987,0.143358347139655,0.0901337264399284,0.136783988957902,0.0805147554237973,0.1389853395061728,0.1999200319872051,1,0,1,0
1C000362,여자,60대 이상,주부,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,0.1766064678706425,0.1121723028944547,0.1107718226808466,0.1395445134575569,0.0929120064681309,0.1165123456790123,0.1083566573370651,2,2,0,0
1H001270,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,600-700만원 미만,0.1749265014699706,0.2398401715232433,0.0904145168649749,0.1561076604554865,0.105376633876836,0.1811342592592592,0.2332400373184059,1,1,2,0
3B027016,남자,20대,장치·기계 조작 및 조립 종사자,대학교 졸업(전문대졸/대학원생 포함),부산광역시,2세대가족,미혼(사별/이혼 포함),맞벌이 하지 않음,500-600만원 미만,0.1545569088618227,0.1394600916090049,0.0810080376259169,0.134023464458247,0.0659614607195795,0.2301311728395061,0.2558976409436225,0,0,2,0
