category,브랜드,제품명,소매가,용량,price_per_100g
참치캔,동원 F&B,맛참 고소참기름,2370,90,2633
참치캔,동원 F&B,맛참 매콤참기름,2370,90,2633
참치캔,동원 F&B,고추참치,2370,90,2633
참치캔,동원 F&B,살코기 라이트 스탠다드,2380,90,2644
참치캔,사조해표,살코기 참치,2245,85,2641
참치캔,동원 F&B,맛참 고소참기름,2870,135,2126
참치캔,동원 F&B,맛참 매콤참기름,2870,135,2126
참치캔,동원 F&B,고추참치,2870,135,2126
참치캔,동원 F&B,살코기 라이트 스탠다드,2880,135,2133
참치캔,사조해표,살코기 참치,2870,135,2126
참치캔,오뚜기,마일드 참치,2870,135,2126
그릭요거트,동원 F&B,덴마크 하이그릭요거트,4400,400,1100
그릭요거트,풀무원다논,그릭 달지않은 플레인,3490,400,873
그릭요거트,매일유업,바이오 그릭요거트,3990,400,998
그릭요거트,남양유업,소화가 잘되는 우유로 만든 그릭요거트,4490,400,1123
그릭요거트,일동후디스,그릭요거트 플레인,6400,450,1422
그릭요거트,빙그레,요플레 그릭 마일드,3980,400,995
캔햄,동원 F&B,리챔 오리지널(6개묶음평균),3580,200,1790
캔햄,CJ제일제당,스팸 클래식(6개묶음평균),3910,200,1955
캔햄,롯데웰푸드,로스팜,5180,200,2590
캔햄,동원 F&B,리챔 오리지널(6개묶음평균),4230,340,1244
캔햄,CJ제일제당,스팸 클래식(6개묶음평균),5480,340,1612
캔햄,롯데웰푸드,로스팜(5개묶음평균),4000,340,1176
RTD_액상커피,동원 F&B,소화가 잘되는 우유로 만든 라떼,2680,250,1072
RTD_액상커피,롯데칠성음료,칸타타 프리미엄 라떼,2380,275,865
RTD_액상커피,동서식품,맥심 T.O.P 마스터 라떼,2680,275,975
RTD_액상커피,매일유업,바리스타룰스 에스프레소라떼,2550,250,1020
참치액,동원 F&B,참치액 진/순,7980,500,1596
참치액,CJ제일제당,백설 참치액 진,7980,500,1596
참치액,사조해표,사조 참치액,7980,500,1596
참치액,한라식품,한라 참치액,8480,500,1696
참치액,동원 F&B,프리미엄 참치액,14980,500,2996
참치액,한라식품,한라 프리미엄 참치액,14980,500,2996
참치액,동원 F&B,참치액 진/순,12980,900,1442
참치액,CJ제일제당,백설 참치액 진,12980,900,1442
참치액,사조해표,사조 참치액,12980,900,1442
참치액,대상,청정원 맛선생 참치액,12980,950,1366
참치액,한라식품,한라 참치액,12880,900,1431
참치액,동원 F&B,프리미엄 참치액,19980,900,2220
