id,product_name,persona_key,output_json,parse_error
덴마크 하이그릭요거트 400g|4,덴마크 하이그릭요거트 400g,4,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|1,덴마크 하이그릭요거트 400g,1,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|5,덴마크 하이그릭요거트 400g,5,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|3,덴마크 하이그릭요거트 400g,3,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|2,덴마크 하이그릭요거트 400g,2,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|6,덴마크 하이그릭요거트 400g,6,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|10,덴마크 하이그릭요거트 400g,10,"{""product_name"": ""덴마크 하이그릭요거트 400g"", ""persona_key"": 10, ""purchase_behavior_prediction"": {""purchase_probability_pct"": 85, ""reason"": ""이 소비자는 건강을 최우선으로 고려하는 프리미엄 소비자 그룹에 속하며, HMR(가정간편식) 선호도가 매우 높습니다. 제품의 특징인 고단백과 건강식품으로서의 가치가 이 소비자의 건강 지향성과 잘 맞아떨어집니다. 또한, 가격이 3,980원으로 경쟁 제품의 가격 범위(873원 ~ 1,422원)보다 상대적으로 비쌀 수 있지만, 프리미엄 제품에 대한 수용도가 높아 가격에 대한 민감도가 낮습니다. 따라서 이 소비자는 제품의 품질과 건강적 이점을 고려하여 구매할 가능성이 높습니다."", ""monthly_purchase_frequency"": 4}}",
덴마크 하이그릭요거트 400g|7,덴마크 하이그릭요거트 400g,7,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|8,덴마크 하이그릭요거트 400g,8,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|9,덴마크 하이그릭요거트 400g,9,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|11,덴마크 하이그릭요거트 400g,11,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|12,덴마크 하이그릭요거트 400g,12,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|13,덴마크 하이그릭요거트 400g,13,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|14,덴마크 하이그릭요거트 400g,14,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|15,덴마크 하이그릭요거트 400g,15,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|20,덴마크 하이그릭요거트 400g,20,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|18,덴마크 하이그릭요거트 400g,18,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|16,덴마크 하이그릭요거트 400g,16,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|19,덴마크 하이그릭요거트 400g,19,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|22,덴마크 하이그릭요거트 400g,22,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|23,덴마크 하이그릭요거트 400g,23,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|24,덴마크 하이그릭요거트 400g,24,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|17,덴마크 하이그릭요거트 400g,17,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|21,덴마크 하이그릭요거트 400g,21,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|25,덴마크 하이그릭요거트 400g,25,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|26,덴마크 하이그릭요거트 400g,26,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|28,덴마크 하이그릭요거트 400g,28,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|27,덴마크 하이그릭요거트 400g,27,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|29,덴마크 하이그릭요거트 400g,29,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|30,덴마크 하이그릭요거트 400g,30,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|31,덴마크 하이그릭요거트 400g,31,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|32,덴마크 하이그릭요거트 400g,32,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|33,덴마크 하이그릭요거트 400g,33,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|34,덴마크 하이그릭요거트 400g,34,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|35,덴마크 하이그릭요거트 400g,35,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|36,덴마크 하이그릭요거트 400g,36,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|37,덴마크 하이그릭요거트 400g,37,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|39,덴마크 하이그릭요거트 400g,39,"{""product_name"": ""덴마크 하이그릭요거트 400g"", ""persona_key"": 39, ""purchase_behavior_prediction"": {""purchase_probability_pct"": 85, ""reason"": ""이 페르소나는 HMR(가정식 대체식) 선호도가 매우 높고, 건강식품에 대한 관심이 있으며, 특히 고단백 제품을 선호합니다. 덴마크 하이그릭요거트는 건강식품으로서 고단백 특성을 가지고 있어 이 소비자에게 매력적입니다. 또한, 1인 가구로서 간편하게 섭취할 수 있는 제품을 선호하는 경향이 있어, 이 제품의 편리함과 높은 만족도는 긍정적인 요소로 작용합니다. 시장 경쟁 환경에서 이 제품의 가격은 100g당 995원으로, 경쟁 제품의 가격 범위(873원 ~ 1,422원) 내에 위치하여 가격 경쟁력도 갖추고 있습니다. 따라서 이 소비자는 가격에 대한 민감도가 낮고, 브랜드 충성도도 높아 이 제품을 선택할 가능성이 큽니다."", ""monthly_purchase_frequency"": 4}}",
덴마크 하이그릭요거트 400g|38,덴마크 하이그릭요거트 400g,38,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|40,덴마크 하이그릭요거트 400g,40,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|41,덴마크 하이그릭요거트 400g,41,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|42,덴마크 하이그릭요거트 400g,42,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|44,덴마크 하이그릭요거트 400g,44,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|43,덴마크 하이그릭요거트 400g,43,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|45,덴마크 하이그릭요거트 400g,45,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|46,덴마크 하이그릭요거트 400g,46,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|47,덴마크 하이그릭요거트 400g,47,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|50,덴마크 하이그릭요거트 400g,50,"{""product_name"": ""덴마크 하이그릭요거트 400g"", ""persona_key"": 50, ""purchase_behavior_prediction"": {""purchase_probability_pct"": 85, ""reason"": ""이 페르소나는 건강을 최우선으로 고려하는 소비자로, HMR(가정간편식) 선호도가 높아 편리한 식사를 선호합니다. 제품의 특징인 '고단백'과 '건강식품'은 그녀의 건강 지향적인 성향과 잘 맞아떨어지며, 유당불내증을 가진 소비자에게 적합한 제품입니다. 가격은 3,980원으로, 경쟁 제품의 가격대(873원 ~ 1,422원)와 비교했을 때 다소 높은 편이지만, 그녀는 가격에 대한 민감도가 낮고 프리미엄 제품을 선호하기 때문에 구매 의사가 높습니다. 또한, 브랜드 충성도가 높아 동원 F&B와 같은 신뢰할 수 있는 브랜드의 제품을 선택할 가능성이 큽니다."", ""monthly_purchase_frequency"": 3}}",
덴마크 하이그릭요거트 400g|48,덴마크 하이그릭요거트 400g,48,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|49,덴마크 하이그릭요거트 400g,49,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|51,덴마크 하이그릭요거트 400g,51,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|52,덴마크 하이그릭요거트 400g,52,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|53,덴마크 하이그릭요거트 400g,53,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|55,덴마크 하이그릭요거트 400g,55,,Expecting value: line 2 column 512 (char 512)
덴마크 하이그릭요거트 400g|54,덴마크 하이그릭요거트 400g,54,,Expecting value: line 2 column 512 (char 512)
