category,브랜드,제품명,소매가,price_per_100g
참치캔,동원 F&B,맛참 고소참기름 90g,2370,2633
참치캔,동원 F&B,맛참 매콤참기름 90g,2370,2633
참치캔,동원 F&B,고추참치 90g,2370,2633
참치캔,동원 F&B,살코기 라이트 스탠다드 90g,2380,2644
참치캔,사조해표,살코기 참치 85g,2245,2641
참치캔,동원 F&B,맛참 고소참기름 135g,2870,2126
참치캔,동원 F&B,맛참 매콤참기름 135g,2870,2126
참치캔,동원 F&B,고추참치 135g,2870,2126
참치캔,동원 F&B,살코기 라이트 스탠다드 135g,2880,2133
참치캔,사조해표,살코기 참치 135g,2870,2126
참치캔,오뚜기,마일드 참치 135g,2870,2126
그릭요거트,동원 F&B,덴마크 하이그릭요거트 400g,4400,1100
그릭요거트,풀무원다논,그릭 달지않은 플레인 400g,3490,873
그릭요거트,매일유업,바이오 그릭요거트 400g,3990,998
그릭요거트,남양유업,소화가 잘되는 우유로 만든 그릭요거트 400g,4490,1123
그릭요거트,일동후디스,그릭요거트 플레인 450g,6400,1422
그릭요거트,빙그레,요플레 그릭 마일드 400g,3980,995
캔햄,동원 F&B,리챔 오리지널(6개묶음평균) 200g,3580,1790
캔햄,CJ제일제당,스팸 클래식(6개묶음평균) 200g,3910,1955
캔햄,롯데웰푸드,로스팜 200g,5180,2590
캔햄,동원 F&B,리챔 오리지널(6개묶음평균) 340g,4230,1244
캔햄,CJ제일제당,스팸 클래식(6개묶음평균) 340g,5480,1612
캔햄,롯데웰푸드,로스팜(5개묶음평균) 340g,4000,1176
RTD_액상커피,동원 F&B,소화가 잘되는 우유로 만든 라떼 250ml,2680,1072
RTD_액상커피,롯데칠성음료,칸타타 프리미엄 라떼 275ml,2380,865
RTD_액상커피,동서식품,맥심 T.O.P 마스터 라떼 275ml,2680,975
RTD_액상커피,매일유업,바리스타룰스 에스프레소라떼 250ml,2550,1020
참치액,동원 F&B,참치액 진/순 500g,7980,1596
참치액,CJ제일제당,백설 참치액 진 500g,7980,1596
참치액,사조해표,사조 참치액 500g,7980,1596
참치액,한라식품,한라 참치액 500g,8480,1696
참치액,동원 F&B,프리미엄 참치액 500g,14980,2996
참치액,한라식품,한라 프리미엄 참치액 500g,14980,2996
참치액,동원 F&B,참치액 진/순 900g,12980,1442
참치액,CJ제일제당,백설 참치액 진 900g,12980,1442
참치액,사조해표,사조 참치액 900g,12980,1442
참치액,대상,청정원 맛선생 참치액 950g,12980,1366
참치액,한라식품,한라 참치액 900g,12880,1431
참치액,동원 F&B,프리미엄 참치액 900g,19980,2220
